Map Name,MD5,Size/Bytes
surf_b_r_o_x_x_x.bsp,ce9e3fa94204337e16c35e4f44598bd0,48347333
,,
surf_brutalist.bsp,cd842c4870d6dc0896959ce2b5fcf3ee,28799758
,,
surf_brutalist_ez.bsp,3dcb77d109f74c71e6ffdf3eddb7fe52,25845467
,,
surf_buffer.bsp,340b9ff054eadeb6cecfd6f01bc24907,1085500
,,
surf_bullet_csgo.bsp,34e6fd4d78f83975bd69f23601353b70,22841715
,,
surf_bumpybusride.bsp,2c8c61541b7ec677179513ea96c07efa,64576514
,,
surf_burga_alpha1.bsp,67f42dd7f23e3ff479f00c381361a60d,61911880
,,
surf_butt.bsp,a75c8b7a25ec0d9de1375c29aa3bec7e,23641656
,,
surf_caca.bsp,5112e7e38e111ac46f427cabe35f3530,10751234
,,
surf_caesart.bsp,211ee6d42085387409f94c0a9a574ef8,38229820
,,
surf_caged.bsp,9ddd968d7a7b0a7f7132e63760499a15,7591501
,,
surf_caged_ws.bsp,6620e63ea3f36ad7fe70d43d6b7ee452,29995708
,,
surf_calamity2.bsp,10902f66be2feacef5f17002146854c9,55323984
,,
surf_calamity_njv.bsp,493eab5b3846a2f43c16883faba9b787,47688922
,,
surf_calibration.bsp,f82c5c163755a1b4db08f2b4f06e3a27,58342350
,,
surf_calycate2.bsp,8d92e3e8fd8a4ac216d0b99bd31a0a85,43092861
,,
surf_calycate_ag.bsp,955bc6cc54a50ba12e0d99590936d50b,42580260
,,
surf_calycate_ksf.bsp,73b82dc3a8b2253b70872a0b803006d3,38965991
,,
surf_calzone.bsp,93d93e3e5dfb1eb7f50f5fa46b215815,67271147
,,
surf_cancer.bsp,0cad2fc085306171f766462fc2381545,11888472
,,
surf_candyland.bsp,3422d586a9a35d8fc3632f4344bc5d73,34400528
,,
surf_canisius2_fix.bsp,eecc5d01234ff44c1fed4fc8ee25daf7,42070321
,,
surf_canisius.bsp,c096aa460a0676cf50ff87f56ed7e63b,56768307
,,
surf_cannonball.bsp,471b64634a68f78d278e76af40e5b642,100392405
,,
surf_carnage.bsp,1dce03874973292989fa778dccca0d36,1192276
,,
surf_cartoon.bsp,ed32f31d40a2e1a99ea5648af17b85b2,32147365
,,
surf_casbah_fix.bsp,260f87974de5edfd36b52f02b639d5dd,26133864
,,
surf_castle_final.bsp,8d2f3da2507fc75dc5b829d2f9892eea,27707300
,,
surf_castlewalls.bsp,aa87270a94b6baeea33d0e3355359e01,15821458
,,
surf_catalyst2.bsp,b1b42ca7df49e0e0e73962ba1fe2a794,58967750
,,
surf_catalyst.bsp,3ca2174e7b9e89460b635a8b12c5d472,81031393
,,
surf_cat.bsp,e6e353fd7d718e7b531360c9138b3f9f,43873907
,,
surf_catrix.bsp,8469c221f1b4cc3119e685cf0298ad6e,100327895
,,
surf_cave.bsp,0a8ea696d07763f163293ac6939ef325,100124504
,,
surf_cavemissile_fix.bsp,6a3a5523f0728228f5e27be38bdf07d3,48406747
,,
surf_cawsmic.bsp,e7097d05e7429ef6a4d640459b4cbe5f,14814144
,,
surf_celestial.bsp,d99cffd9dcc05058d8873c052b306d9d,85878232
,,
surf_cement.bsp,26365d671cce5fc7e3bade60ee898b4d,135672076
,,
surf_chaos_refix.bsp,bf9ad8296945d4b146b347f01c1c411f,77436522
,,
surf_chasm_go.bsp,253d1f64910bd7473f511054c20abbbe,78681021
,,
surf_chateau.bsp,941563016b6fde13cea497ca91a6cf3f,48437409
,,
surf_chateau_fix.bsp,93496f8420dda054c9335b60bfbcf1d4,50231712
,,
surf_cherryberry.bsp,be4cb6ae0bb5c54e2147e1313a9fb7bb,15289420
,,
surf_chill.bsp,869ee8ea850527fbdaff0e412fcb5bba,31240232
,,
surf_christmas2_fix.bsp,40d48fded6d8f2f8e32b38727d6e4bbd,299017956
,,
surf_christmas_fix.bsp,dfbc9f97557cdc0f19c2685e5630d943,207929172
,,
surf_cinnamon.bsp,e91d109894bfd779ef07ff0595aad8de,86112919
,,
surf_cinnamon_fix.bsp,26ede2bd7d3509df501c787246488afd,86142295
,,
surf_citadelcbackup.bsp,3f4197a663ad0f98317d1e05549e3672,52549728
,,
surf_classics2.bsp,561ee1b6aeadcaeb20df8ef48e831b83,131045815
,,
surf_classics3.bsp,5c567b35888ba065477c9d830fc03482,287279446
,,
surf_classics.bsp,7fc8c6084a9e1ec5b020d1b61ded157e,101623796
,,
